show_id,title,original_title,status,auditory,rating_myshows,rating_count,rating_kinopoisk,kinopoisk_count,rating_imdb,imdb_count,country,genre,channel,total_length,episode_length,dates,actors,seasons,episodes_in_season
2514,Дерзкие и красивые,The Bold and the Beautiful,Сериал продолжается,145,3.27,33,4.757,497,3.4,7768,['США'],"['Романтика', ' Семейный', ' Драма']",CBS,1 месяц 15 дней 20 часов,22 мин.,23.03.1987 — ...,"['Nancy Sloan', 'Thorsten Kaye', 'Ronn Moss', 'Katherine Kelly Lang', 'Jacqueline MacInnes Wood', 'Scott Clifton', 'Kim Matula', 'Annika Noelle', 'Don Diamont', 'Darin Brooks', 'Pierson Fodé', 'Matthew Atkinson', 'Rena Sofer', 'John McCook', 'Heather Tom', 'Nancy Sloan', 'Krista Allen', 'Hunter Tylo', 'Lawrence Saint-Victor', 'Courtney Hope', 'Kiara Barnes', 'Carrie Mitchum', 'Jennifer Gareis', 'Delon de Metz', 'Rome Flynn', 'Tanner Novlan', 'Kimberlin Brown', 'Katrina Bowden', 'Justin Torkildsen', 'Kyle Lowder', 'Jacob Young', 'Alley Mills', 'Aaron D. Spears', 'Diamond White', 'Denise Richards', 'Ingo Rademacher', 'Winsor Harmon', 'Clayton Norcross', 'Karla Mosley', 'Sean Kanan', 'Reign Edwards', 'Susan Flannery', 'Agnes Bruckner', 'Jennifer Finnigan', 'Ashley Jones', 'Anthony Turpel', 'Jack Wagner', 'Adain Bradley', 'Patrika Darbo', 'Courtney Grosbeck', 'Ashleigh Brewer', 'Linsey Godfrey', 'Nia Sioux Frazier', 'Felisha Cooper', 'Lesley-Anne Down', 'Wayne Brady', 'Sarah Brown', 'Jeremy Ray Valdez', 'Brandon Beemer', 'Rick Hearst', 'Ethan Wayne', 'William deVry', 'Ian Buchanan', 'Joanna Johnson', 'Lesli Kay', 'Colleen Dion', 'Texas Battle', 'Lauren Koslow', 'Jim Storm', 'Daniel McVicar', 'Teri Ann Linn', 'Tracy Melchior', 'Adrienne Frantz', 'Stephen Shortridge', 'Judith Baldwin', 'Sarah Buxton', 'Mick Cain', 'Darlene Conley', 'Kristolyn Lloyd', 'Maeve Quinlan', 'Bryan Genesse', 'Joseph Mascolo', 'Barbara Crampton', 'Tracey Bregman', 'Kayla Ewell', 'Lorenzo Lamas', 'Mario Lopez', 'Tim Choate', 'Cal Bartlett', 'Judith Borne', 'Eileen Davidson', 'Bobbie Eakes', 'Schae Harrison', 'Lindsay Price', 'Ashley Tesoro', 'Monika Schnarre']",14,"['27', '58', '251', '256', '253', '255', '316', '252', '197', '258', '249', '188', '249', '191']"
2518,Звезда Калейдо,Kaleido Star,Отменен/Закончен,214,4.21,99,7.303,190,7.8,910,['Япония'],"['Аниме', ' Комедия', ' Драма', ' Фэнтези']",TV Tokyo,22 часа 30 минут,25 мин.,03.04.2003 — 27.09.2006,"['Takehito Koyasu', 'Sayaka Ohara', 'Ryou Hirohashi']",2,"['26', '28']"
2519,Золотые девочки,The Golden Girls,Отменен/Закончен,838,4.49,140,6.398,490,8.1,41515,['США'],"['Комедия', ' Драма']",NBC,2 дня 19 часов,22 мин.,14.09.1985 — 02.06.2003,"['Bea Arthur', 'Betty White', 'Rue McClanahan', 'Estelle Getty']",7,"['25', '26', '25', '26', '26', '26', '27']"
2523,Магия напрокат,Rental Magica,Отменен/Закончен,434,3.53,170,,,6.6,70,['Япония'],"['Ужасы', ' Комедия', ' Аниме', ' Фэнтези']",Chiba TV,8 часов 48 минут,22 мин.,07.10.2007 — 23.03.2008,"['Jun Fukuyama', 'Kana Ueda', 'Mikako Takahashi', 'Daisuke Ono', 'Junichi Suwabe', 'Katsuyuki Konishi', 'Rie Kugimiya', 'Shizuka Itou']",1,['24']
2527,Юные Титаны,Teen Titans,Отменен/Закончен,1435,4.0,616,6.94,3096,7.9,32234,['США'],"['Боевик', ' Приключения', ' Фантастика']",Cartoon Network,1 день 1 час 27 минут,22 мин.,19.07.2003 — 15.09.2006,"['Ashley Johnson', 'Greg Cipes', 'Hynden Walch', 'John DiMaggio', 'Kevin Michael Richardson', 'Khary Payton', 'Ron Perlman', 'Scott Menville', 'Tara Strong']",5,"['13', '13', '13', '14', '14']"
2528,Звездный десант: Хроники,Roughnecks: Starship Troopers Chronicles,Отменен/Закончен,261,3.77,110,6.144,1752,7.4,2102,['США'],"['Фантастика', ' Боевик', ' Военный']",SyFy,14 часов 40 минут,22 мин.,30.08.1999 — 05.04.2000,"['Alexander Polinsky', 'Bill Fagerbakke', 'David DeLuise', 'Elizabeth Daily', 'James Horan', 'Jamie Hanes', 'Nicholas Guest', 'Rino Romano', 'Steve Staley', 'Tish Hicks', 'Irene Bedard', 'Rider Strong']",1,['40']
2535,Meego,,Отменен/Закончен,12,3.0,4,,,5.3,152,['США'],"['Комедия', ' Фантастика']",CBS,4 часа 46 минут,22 мин.,19.09.1997 — 24.10.1997,"['Bronson Pinchot', 'Ed Begley Jr.', 'Jonathan Lipnicki', 'Will Estes', 'Michelle Trachtenberg']",1,['13']
2536,"Джамп стрит, 21",21 Jump Street,Отменен/Закончен,820,3.94,162,7.811,1572,7.2,12918,['США'],"['Боевик', ' Приключения', ' Драма']",Syndicated,3 дня 5 часов 15 минут,45 мин.,12.04.1987 — 27.04.1991,"['Steven Williams', 'Holly Robinson Peete', 'Peter DeLuise', 'Johnny Depp', 'Dustin Nguyen', 'Sal Jenco', 'Michael Bendetti', 'Richard Grieco', 'Michael DeLuise', 'Frederic Forrest', 'Yvette Nipar', 'David Barry Gray', 'Alexandra Powers']",5,"['13', '22', '20', '26', '22']"
2537,Дочери Маклеода,McLeod's Daughters,Отменен/Закончен,225,3.99,112,8.165,503,7.2,6099,['Австралия'],['Драма'],Nine Network,6 дней 18 часов 12 минут,43 мин.,08.08.2001 — 31.01.2009,"['Rachael Carpani', 'Lisa Chappell', 'Bridie Carter', 'Aaron Jeffery', 'Abi Tucker', 'Brett Tucker', 'Catherine Wilkin', 'Charlie Clausen', 'Craig McLachlan', ""Dean O'Gorman"", 'Doris Younane', 'Edwina Ritchard', 'Gillian Alexy', 'Inge Hornstra', 'Jessica Napier', 'John Schwarz', 'Jonathon Pasvolsky', 'Jonathon Pasvolsky', 'Kathryn Hartman', 'Luke Jacobz', 'Marshall Napier', 'Matt Passmore', 'Michala Banas', 'Myles Pollard', 'Simmone Mackinnon', 'Zoe Naylor']",8,"['23', '22', '30', '32', '32', '32', '32', '22']"
2539,Школа клонов,Clone High,Отменен/Закончен,422,3.66,160,6.31,502,8.2,7527,['Канада'],['Комедия'],TeleToon,4 часа 46 минут,22 мин.,02.11.2002 — 13.04.2003,"['Christa Miller', 'Will Forte', 'Phil Lord', 'Nicole Sullivan', 'Michael McDonald', 'Christopher Miller']",1,['13']
